Category,#,Question,Client Answer,Notes / Evidence,Risk Indicator
COMPLIANCE,8.6,Date of last privileged access audit?,,,"HIGH if > 12 months"
COMPLIANCE,8.7,Is there a SIEM in place?,,,"—"
COMPLIANCE,8.8,SIEM platform (Splunk / QRadar / Elastic / Other)?,,,"—"
COMPLIANCE,8.9,Is session recording currently in place anywhere?,,,"—"
COMPLIANCE,8.10,Required session recording retention period (months)?,,,"—"
COMPLIANCE,8.11,Next external audit date?,,,"—"
VENDORS,9.1,Number of active third-party vendor organisations with access?,,,"HIGH if > 5 and unmanaged"
VENDORS,9.2,How is vendor access currently granted (VPN / RDP / Other)?,,,"HIGH if persistent VPN"
VENDORS,9.3,Are vendor access accounts reviewed and removed after engagement ends?,,,"HIGH if NO"
VENDORS,9.4,Is vendor session activity currently recorded?,,,"HIGH if NO"
VENDORS,9.5,Are there vendor accounts that have not been used in > 30 days?,,,"HIGH if YES"
