Section,Category,Line Item,Value (€),Notes / Source
OPERATIONAL,Input,Number of managed accounts for rotation,0,From 02-asset-inventory.csv — accounts with rotation enabled
OPERATIONAL,Input,Manual password resets per account per year (if no rotation),4,Quarterly manual rotation — adjust to actual
OPERATIONAL,Input,Time per manual password reset (minutes),25,Typical IT service desk handling time
OPERATIONAL,Calculated,Annual password reset saving (hours),=B43*B44*(B45/60),Formula: Hours = Accounts × Resets/year × Minutes/reset ÷ 60
OPERATIONAL,Calculated,Annual password reset cost saving,=B46*B36,Formula: Saving = Hours × Hourly rate
OPERATIONAL,Calculated,Total annual operational saving,=SUM(B38;B41;B47),Sum of all operational savings
,,,,
INVESTMENT,Input,WALLIX Bastion software licenses (Year 1),0,From WALLIX quote — include all nodes
INVESTMENT,Input,FortiToken licenses (Year 1),0,From Fortinet quote — hardware + software tokens
INVESTMENT,Input,FortiAuthenticator licenses (Year 1),0,If not already deployed
INVESTMENT,Input,Implementation professional services,0,From 06-scope-proposal-template.csv effort × daily rate
INVESTMENT,Input,Hardware (servers / appliances if required),0,If client must procure new hardware
INVESTMENT,Input,Training (if billed separately),0,Typically included in services
INVESTMENT,Input,Other Year 1 costs,0,Travel / accommodation / other
INVESTMENT,Calculated,Total Year 1 investment,=SUM(B51:B57),Sum of all Year 1 costs
INVESTMENT,Input,Annual recurring cost (Year 2 onwards),0,License maintenance + support + internal effort estimate
,,,,
ROI SUMMARY,Calculated,Total annual benefit,=B15+B26+B31+B48,Risk reduction + compliance + insurance + operational
ROI SUMMARY,Calculated,Net Year 1 benefit,=B61-B58,Total annual benefit minus Year 1 investment
ROI SUMMARY,Calculated,ROI Year 1 (%),=(B61/B58-1)*100,Formula: (Annual benefit / Investment - 1) × 100
ROI SUMMARY,Calculated,Payback period (months),=(B58/B61)*12,Formula: (Investment / Annual benefit) × 12
ROI SUMMARY,Input,Discount rate for NPV (%),8,Use client's cost of capital or 8% as default
ROI SUMMARY,Calculated,Year 2 net benefit,=B61-B59,Year 2: annual benefit minus recurring cost only
ROI SUMMARY,Calculated,Year 3 net benefit,=B61-B59,Year 3: same as Year 2
ROI SUMMARY,Calculated,3-year undiscounted net benefit,=B62+(B67*2),Year 1 net + Year 2 net + Year 3 net
